Title,Body,Status,Labels,Repository
"DOCKER-03 SBOM e scan de imagens","Epic: Conteinerização\nPrioridade: P0\nSP: 5\nSprint alvo: Sprint 5\nResponsável (papel): Security Engineer\nResponsável sugerido: SecOps 1\nDependências: DOCKER-01, CICD-01\nCritério de aceite: CVEs críticos bloqueiam release; SBOM gerado","Todo","epic:conteinerizacao,priority:p0,sprint:5,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"CICD-02 Publish de imagens e promoção de artefatos","Epic: CI/CD\nPrioridade: P0\nSP: 5\nSprint alvo: Sprint 5\nResponsável (papel): DevOps Engineer\nResponsável sugerido: DevOps 1\nDependências: CICD-01, DOCKER-01\nCritério de aceite: Artefatos versionados e rastreáveis","Todo","epic:cicd,priority:p0,sprint:5,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"K8S-01 Deployments/Services/Ingress por serviço","Epic: Kubernetes\nPrioridade: P0\nSP: 13\nSprint alvo: Sprint 6\nResponsável (papel): DevOps Engineer\nResponsável sugerido: DevOps 2\nDependências: DOCKER-02, CICD-02\nCritério de aceite: Deploy funcional em homolog","Todo","epic:kubernetes,priority:p0,sprint:6,sp:13","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"K8S-02 HPA + self-healing + PDB","Epic: Kubernetes\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 6\nResponsável (papel): SRE\nResponsável sugerido: SRE 1\nDependências: K8S-01\nCritério de aceite: Teste de falha com recuperação automática","Todo","epic:kubernetes,priority:p0,sprint:6,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"K8S-03 ConfigMap/Secret/NetworkPolicy/limits","Epic: Kubernetes\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 6\nResponsável (papel): SRE\nResponsável sugerido: SRE 1\nDependências: K8S-01, SEC-01\nCritério de aceite: Políticas ativas e validadas","Todo","epic:kubernetes,priority:p0,sprint:6,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"CICD-03 CD progressivo com rollback automático","Epic: CI/CD\nPrioridade: P0\nSP: 8\nSprint alvo: Sprint 6\nResponsável (papel): DevOps Engineer\nResponsável sugerido: DevOps 2\nDependências: K8S-01, K8S-02\nCritério de aceite: Rollback automático em violação de SLO","Todo","epic:cicd,priority:p0,sprint:6,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"OBS-01 Logs estruturados e correlação","Epic: Observabilidade\nPrioridade: P1\nSP: 5\nSprint alvo: Sprint 7\nResponsável (papel): SRE\nResponsável sugerido: SRE 1\nDependências: K8S-01\nCritério de aceite: Busca por request entre serviços","Todo","epic:observabilidade,priority:p1,sprint:7,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"OBS-02 Métricas e tracing distribuído","Epic: Observabilidade\nPrioridade: P1\nSP: 8\nSprint alvo: Sprint 7\nResponsável (papel): SRE\nResponsável sugerido: SRE 1\nDependências: OBS-01\nCritério de aceite: Dashboard e alertas operacionais ativos","Todo","epic:observabilidade,priority:p1,sprint:7,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"OBS-03 SLO/SLI por serviço","Epic: Observabilidade\nPrioridade: P1\nSP: 5\nSprint alvo: Sprint 7\nResponsável (papel): SRE\nResponsável sugerido: SRE 1\nDependências: OBS-02\nCritério de aceite: SLO publicado e monitorado","Todo","epic:observabilidade,priority:p1,sprint:7,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"AI-01 Implementar AI Service desacoplado","Epic: AI/MLOps\nPrioridade: P1\nSP: 13\nSprint alvo: Sprint 7\nResponsável (papel): ML Engineer\nResponsável sugerido: ML 1\nDependências: MS-03, OBS-01\nCritério de aceite: Endpoint inferência versionado e resiliente","Todo","epic:ai-mlops,priority:p1,sprint:7,sp:13","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"AI-02 Pipeline de treino e registro de modelo","Epic: AI/MLOps\nPrioridade: P1\nSP: 8\nSprint alvo: Sprint 8\nResponsável (papel): ML Engineer\nResponsável sugerido: ML 1\nDependências: AI-01, CICD-02\nCritério de aceite: Modelo promovido por critério de qualidade","Todo","epic:ai-mlops,priority:p1,sprint:8,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"AI-03 Monitoramento de drift e performance","Epic: AI/MLOps\nPrioridade: P1\nSP: 8\nSprint alvo: Sprint 8\nResponsável (papel): ML Engineer\nResponsável sugerido: ML 1\nDependências: AI-02, OBS-02\nCritério de aceite: Drift monitorado e rollback funcional","Todo","epic:ai-mlops,priority:p1,sprint:8,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"RES-01 Plano experimental reprodutível","Epic: Evidências do Artigo\nPrioridade: P1\nSP: 5\nSprint alvo: Sprint 8\nResponsável (papel): Research Engineer\nResponsável sugerido: Jorge Oliveira\nDependências: K8S-02, OBS-03\nCritério de aceite: Scripts versionados e reproduzíveis","Todo","epic:evidencias-artigo,priority:p1,sprint:8,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"RES-02 Métricas comparativas baseline vs target","Epic: Evidências do Artigo\nPrioridade: P1\nSP: 8\nSprint alvo: Sprint 8\nResponsável (papel): Research Engineer\nResponsável sugerido: Jorge Oliveira\nDependências: RES-01\nCritério de aceite: Relatório com gráficos e tabelas","Todo","epic:evidencias-artigo,priority:p1,sprint:8,sp:8","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
"RES-03 Relatório de conformidade LGPD e segurança","Epic: Evidências do Artigo\nPrioridade: P1\nSP: 5\nSprint alvo: Sprint 8\nResponsável (papel): Privacy Officer\nResponsável sugerido: DPO\nDependências: LGPD-01, DOCKER-03, K8S-03\nCritério de aceite: Checklist LGPD e segurança concluído","Todo","epic:evidencias-artigo,priority:p1,sprint:8,sp:5","JorgeJosePereiraOliveira/PROTOTIPO_PRONTUARIOELETRONICO"
